,RecordID,First_Name,Last_Name,DDN,CodePostal,Date_Heure_sortie,Date_Heure_index,Date_Gem,Adresse,No_dossier,Territoire_CLSC,RAMQ
0,77,Jessica,Gordon,4/16/1989,H8Y 1A9,2/10/2020 12:22,3/8/1991 5:12,4/9/1996 4:23,4676 Baker Loaf,220841859,New Dorothy,GORJ89541616
1,90472,Laura,Foster,5/9/1999,M2C 1X7,7/27/1972 22:47,2/23/1982 14:02,5/16/2015 3:37,69070 Samuel Coves Suite 862,271,Duartemouth,FOSL99550930
2,90472,Laura,Foster,5/9/1999,M2C 1X7,7/27/1972 22:47,2/23/1982 14:02,5/16/2015 3:37,69070 Samuel Coves Suite 862,271,Duartemouth,FOSL99050962
3,8613174,Kathryn,Santiago,7/1/1982,X1K 8R9,8/18/1975 18:13,10/25/1994 5:34,8/16/2010 3:30,5777 Wheeler Overpass,2,West Johnnyfort,SANK82570132
4,8613174,Kathryn,Santiago,7/1/1982,X1K 8R9,8/18/1975 18:13,10/25/1994 5:34,8/16/2010 3:30,5777 Wheeler Overpass,2,West Johnnyfort,SANK82070185
5,8613174,Kathryn,Santiago,7/1/1982,X1K 8R9,8/18/1975 18:13,10/25/1994 5:34,8/16/2010 3:30,5777 Wheeler Overpass,2,West Johnnyfort,SANK82070192
6,1540113,Katherine,Roberts,7/28/1925,A2P 7R7,3/27/1974 5:50,4/16/1991 15:02,8/27/1988 19:05,259 Young Center Suite 322,7091151,East Sarabury,ROBK25572858
7,1540113,Katherine,Roberts,7/28/1925,A2P 7R7,3/27/1974 5:50,4/16/1991 15:02,8/27/1988 19:05,259 Young Center Suite 322,7091151,East Sarabury,ROBK25072842
8,46780901,Karen,Nguyen,8/27/1989,V6S 6X4,12/30/1973 4:05,2/17/1998 16:44,11/9/1984 6:04,97079 Greg Spurs Suite 849,7188,Lake Eileen,NGUK89582768
9,99,Brittany,Morrison,4/8/1978,A3L 1N5,4/10/2015 9:02,1/23/1982 9:30,7/18/1994 23:55,25766 Megan Cove Suite 388,9875,Gutierrezhaven,MORB78540888
10,99,Brittany,Morrison,4/8/1978,A3L 1N5,4/10/2015 9:02,1/23/1982 9:30,7/18/1994 23:55,25766 Megan Cove Suite 388,9875,Gutierrezhaven,MORB78040898
11,9554,Sherry,Mcdaniel,8/4/2001,M3T5A4,3/27/1977 9:06,8/30/1986 2:16,2/27/1986 14:02,23607 Michael Row,906509326,Gloverborough,MCDS01580473
12,9554,Sherry,Mcdaniel,8/4/2001,M3T5A4,3/27/1977 9:06,8/30/1986 2:16,2/27/1986 14:02,23607 Michael Row,906509326,Gloverborough,MCDS01080499
13,2,Theresa,Simpson,9/1/1934,B4E 8K9,6/30/2007 10:50,8/29/2002 22:47,9/9/1975 19:23,96000 Phillips Streets Apt. 189,362653409,Loriberg,SIMT34590149
14,2,Theresa,Simpson,9/1/1934,B4E 8K9,6/30/2007 10:50,8/29/2002 22:47,9/9/1975 19:23,96000 Phillips Streets Apt. 189,362653409,Loriberg,SIMT34090159
15,2,Theresa,Simpson,9/1/1934,B4E 8K9,6/30/2007 10:50,8/29/2002 22:47,9/9/1975 19:23,96000 Phillips Streets Apt. 189,362653409,Loriberg,SIMT34090136
16,91526,Jennifer,Johnson,5/14/1937,K6V 8L3,8/20/1990 6:34,2/15/1997 23:36,1/17/1982 6:52,5024 Jennifer Causeway,7687066,Vincentton,JOHJ37551499
17,910,Chelsea,Kelly,3/30/1991,G1N8S8,9/18/2018 2:51,8/21/1986 12:29,6/8/1974 8:27,818 Louis Islands Suite 220,8150213,East Adam,KELC91533092
18,7,Nicole,Palmer,2/25/1913,E2S 3L3,12/6/1996 4:49,10/25/2020 0:09,1/4/1999 21:14,9824 Scott Course,5192468,Perezton,PALN13522597
19,8,Carol,Simmons,2/24/1955,B9X 6E8,5/25/1992 18:13,2/17/1979 0:30,2/6/2003 14:11,665 Mark Centers Suite 508,28231,Lake Melissa,SIMC55522472
