,RecordID,First_Name,Last_Name,DDN,CodePostal,Date_Heure_sortie,Date_Heure_index,Date_Gem,Adresse,No_dossier,Territoire_CLSC,RAMQ
0,77,Jessica,Gordon,1989-04-16,H8Y 1A9,2020-02-10 12:22:21,1991-03-08 05:12:02,1996-04-09 04:23:16,4676 Baker Loaf,220841859,New Dorothy,GORJ89541616
1,90472,Laura,Foster,1999-05-09,M2C 1X7,1972-07-27 22:47:10,1982-02-23 14:02:35,2015-05-16 03:37:32,69070 Samuel Coves Suite 862,271,Duartemouth,FOSL99550930
2,90472,Laura,Foster,1999-05-09,M2C 1X7,1972-07-27 22:47:10,1982-02-23 14:02:35,2015-05-16 03:37:32,69070 Samuel Coves Suite 862,271,Duartemouth,FOSL99050962
3,8613174,Kathryn,Santiago,1982-07-01,X1K 8R9,1975-08-18 18:13:46,1994-10-25 05:34:58,2010-08-16 03:30:27,5777 Wheeler Overpass,2,West Johnnyfort,SANK82570132
4,8613174,Kathryn,Santiago,1982-07-01,X1K 8R9,1975-08-18 18:13:46,1994-10-25 05:34:58,2010-08-16 03:30:27,5777 Wheeler Overpass,2,West Johnnyfort,SANK82070185
5,8613174,Kathryn,Santiago,1982-07-01,X1K 8R9,1975-08-18 18:13:46,1994-10-25 05:34:58,2010-08-16 03:30:27,5777 Wheeler Overpass,2,West Johnnyfort,SANK82070192
6,1540113,Katherine,Roberts,1925-07-28,A2P 7R7,1974-03-27 05:50:36,1991-04-16 15:02:27,1988-08-27 19:05:42,259 Young Center Suite 322,7091151,East Sarabury,ROBK25572858
7,1540113,Katherine,Roberts,1925-07-28,A2P 7R7,1974-03-27 05:50:36,1991-04-16 15:02:27,1988-08-27 19:05:42,259 Young Center Suite 322,7091151,East Sarabury,ROBK25072842
8,46780901,Karen,Nguyen,1989-08-27,V6S 6X4,1973-12-30 04:05:25,1998-02-17 16:44:42,1984-11-09 06:04:00,97079 Greg Spurs Suite 849,7188,Lake Eileen,NGUK89582768
9,99,Brittany,Morrison,1978-04-08,A3L 1N5,2015-04-10 09:02:46,1982-01-23 09:30:41,1994-07-18 23:55:49,25766 Megan Cove Suite 388,9875,Gutierrezhaven,MORB78540888
10,99,Brittany,Morrison,1978-04-08,A3L 1N5,2015-04-10 09:02:46,1982-01-23 09:30:41,1994-07-18 23:55:49,25766 Megan Cove Suite 388,9875,Gutierrezhaven,MORB78040898
11,9554,Sherry,Mcdaniel,2001-08-04,M3T5A4,1977-03-27 09:06:29,1986-08-30 02:16:07,1986-02-27 14:02:42,23607 Michael Row,906509326,Gloverborough,MCDS01580473
12,9554,Sherry,Mcdaniel,2001-08-04,M3T5A4,1977-03-27 09:06:29,1986-08-30 02:16:07,1986-02-27 14:02:42,23607 Michael Row,906509326,Gloverborough,MCDS01080499
13,2,Theresa,Simpson,1934-09-01,B4E 8K9,2007-06-30 10:50:37,2002-08-29 22:47:26,1975-09-09 19:23:01,96000 Phillips Streets Apt. 189,362653409,Loriberg,SIMT34590149
14,2,Theresa,Simpson,1934-09-01,B4E 8K9,2007-06-30 10:50:37,2002-08-29 22:47:26,1975-09-09 19:23:01,96000 Phillips Streets Apt. 189,362653409,Loriberg,SIMT34090159
15,2,Theresa,Simpson,1934-09-01,B4E 8K9,2007-06-30 10:50:37,2002-08-29 22:47:26,1975-09-09 19:23:01,96000 Phillips Streets Apt. 189,362653409,Loriberg,SIMT34090136
16,91526,Jennifer,Johnson,1937-05-14,K6V 8L3,1990-08-20 06:34:03,1997-02-15 23:36:02,1982-01-17 06:52:39,5024 Jennifer Causeway,7687066,Vincentton,JOHJ37551499
17,910,Chelsea,Kelly,1991-03-30,G1N8S8,2018-09-18 02:51:42,1986-08-21 12:29:45,1974-06-08 08:27:57,818 Louis Islands Suite 220,8150213,East Adam,KELC91533092
18,7,Nicole,Palmer,1913-02-25,E2S 3L3,1996-12-06 04:49:33,2020-10-25 00:09:28,1999-01-04 21:14:57,9824 Scott Course,5192468,Perezton,PALN13522597
19,8,Carol,Simmons,1955-02-24,B9X 6E8,1992-05-25 18:13:27,1979-02-17 00:30:22,2003-02-06 14:11:13,665 Mark Centers Suite 508,28231,Lake Melissa,SIMC55522472
