a,b,c,d,e,f,g
4,red,Road perhaps toward.,1,2386.2561338484015,Mich�le Arsenault,2021-07-15
5,yellow,Capital bed pretty.,0,4989.921503548065,Sylvie-Jessica Bernier,2021-03-17
2,blue,Design economy.,1,8770.198937138393,Bertrand Mercier,2021-02-24
5,green,TV security state.,1,182.8311321325568,�douard Delisle,2021-05-23
2,yellow,Lay event this.,0,1307.8769289321554,Camille Beaudoin,2021-02-14
4,yellow,Beyond action speak.,1,6879.573111585192,Antoine Dumas,2021-06-02
2,blue,Five every month.,1,8737.51017572027,Daniel-�douard Fontaine,2021-05-16
1,blue,Tell kitchen spring.,0,2884.8755291986686,Nathalie Blouin,2021-04-25
1,yellow,Agree event total.,0,5467.924382894401,Chantal Laplante,2021-06-26
2,green,Yet traditional.,0,1833.6704009185926,Brigitte Moreau,2021-05-23
3,blue,Rise tree list may.,0,7797.001656909826,Henri Par�,2021-04-01
6,green,Turn respond amount.,1,4614.855870742876,Nathan G�linas,2021-06-11
7,blue,Able agree itself.,1,5737.431157187976,Odette Grenier,2021-03-09
8,blue,Discussion still.,1,9273.837003432951,No�mie Lambert,2021-05-20
2,yellow,Some speech.,0,2053.6333759489034,Camille Fortier,2021-05-30
8,blue,Bring continue week.,1,8743.801703205956,Diane Tessier,2021-05-27
9,blue,Marriage.,1,7329.587790381736,Christiane Labb�,2021-06-12
6,red,Head exist media.,1,4338.292556715173,Xavier-Richard Labb�,2021-08-04
8,green,Just leg ahead.,1,4089.4917356289648,Fran�ois Rousseau,2021-02-19
5,yellow,Process rise.,1,3090.325122665651,Nathan Gendron,2021-03-24
7,yellow,Lot use attorney.,0,7440.07635758855,Christine Proulx-Turcotte,2021-07-28
10,red,Home time and base.,0,2216.389335798817,Jonathan-Rapha�l Gauthier,2021-06-30
4,red,Operation push.,0,4413.769202608341,Arthur Paquette,2021-03-04
6,green,Home beautiful.,1,1520.6175443558068,Benjamin Lavoie,2021-03-28
9,blue,Certain instead.,1,6563.991683925563,Andr� Nguyen-Dupont,2021-05-11
8,green,Sea suddenly skill.,0,7132.871400656672,Fr�d�rique Archambault,2021-03-22
9,red,Maintain a example.,1,8381.761802176516,Odette Carrier,2021-05-30
9,blue,Begin tonight early.,1,6240.293679920969,Henriette Lauzon,2021-02-13
9,blue,Billion PM economy.,0,6870.288462605588,Charlotte Dumas,2021-05-20
8,blue,Outside forget.,0,1141.0538577905397,Guillaume-Gr�goire Richer,2021-05-06
4,green,Rather travel wall.,0,5720.203527668856,Aurore Laroche,2021-06-15
4,blue,Difference east.,0,5677.462144494765,Marianne-Virginie Lachapelle,2021-05-27
5,blue,Woman public by.,0,2120.8998495902215,Marie H�bert-Laplante,2021-05-02
4,green,Special social call.,1,4198.57834631446,�douard Trudel,2021-04-19
3,yellow,Health center.,0,3752.726825466569,Roger Dallaire,2021-02-23
9,yellow,Husband instead.,0,5864.24023452678,Timoth�e Archambault-Legault,2021-06-14
8,green,Act value plan.,1,4402.161563407543,Isabelle Richer-Martin,2021-06-21
4,green,Go expect edge.,0,1022.1669502825542,Joseph-Zacharie Lussier,2021-03-27
9,blue,How feeling ok.,1,6781.368686624995,David Blouin,2021-07-23
10,green,Tax door tree.,1,165.76175395672715,Danielle-�lodie Robert,2021-02-26
8,yellow,Deep position life.,1,1360.37111648087,Margaret-Rosalie Larocque,2021-06-03
8,red,Analysis like by.,1,8524.498941618349,Bernard Chabot-Cloutier,2021-02-23
10,yellow,Coach firm become.,0,3716.739439239202,Fr�d�rique-Alex Savard,2021-04-10
5,blue,Success themselves.,0,8768.60707787569,J�r�me Nguyen,2021-04-16
5,yellow,Ask fight toward.,1,8628.221469094757,Audrey Morin,2021-06-23
7,yellow,Arm put difficult.,0,4601.938362690629,Claire-Ana�s Lambert,2021-03-24
8,blue,Course scientist.,0,3570.243368275284,Maurice Robert,2021-05-25
10,red,Project land.,1,8876.954426155167,Jacqueline Beauchamp,2021-07-24
3,red,Purpose wish one.,0,4743.175298421516,Nathan Paquin-Martineau,2021-04-04
7,red,Fire analysis.,1,9984.55461063404,Jeannine Asselin,2021-03-25
1,blue,Provide town.,0,8809.672858656726,Laurent Pilon,2021-05-31
1,yellow,Field sense agent.,0,1320.8652236617545,Alex Lebel,2021-04-05
9,red,Part strategy third.,1,4311.532532302499,Vincent Marcoux,2021-06-18
7,red,Responsibility fund.,0,8538.895506096394,Fran�ois Germain,2021-06-01
3,blue,Size senior mean.,0,4385.828623589769,Josette St-Laurent,2021-06-10
3,blue,Unit story may eat.,0,7036.127606244811,Luc Blanchette,2021-07-05
4,red,Time better source.,0,915.5400800381752,�lise Larivi�re,2021-07-28
1,yellow,Among cost present.,1,5657.396313615966,Colette Rodrigue,2021-06-07
2,blue,Go often sell.,1,4141.509678493674,Vincent Thibodeau,2021-04-01
5,green,Care write.,1,9154.142390834379,S�bastien Labont�,2021-08-02
9,blue,Poor firm we.,0,583.0773677507204,Rosalie P�pin,2021-03-05
4,red,Your car decade.,1,3200.4254948395705,Val�rie Therrien,2021-05-17
1,blue,Admit teacher.,0,7593.698588348705,Hortense-Jeannine Dupuis,2021-03-02
6,red,Property knowledge.,1,8814.95990364916,Christiane Fillion,2021-06-27
3,blue,Son individual push.,1,8646.92917619368,Lucie Harvey,2021-03-18
5,red,Writer all imagine.,0,1946.276144168003,Lucas-Louis Lavoie,2021-07-29
4,yellow,Subject address.,1,686.7768150173254,Julien Dallaire,2021-08-02
10,yellow,Often government.,0,7017.8531866604135,Paul Archambault,2021-07-14
5,blue,Do fill turn see.,1,8289.926458847787,Jacques Langlois,2021-06-23
6,blue,Address executive.,1,9641.449720878158,Jos�phine Savard,2021-07-07
10,green,When tell fill.,0,8101.070093788535,�ric Duchesne,2021-05-24
5,green,Few once writer.,1,6066.175149949958,Juliette-Am�lie Sirois,2021-08-08
7,red,Now Mr church down.,0,5736.389781885843,Simone-H�l�ne Marcotte,2021-04-09
5,blue,Kind war him leader.,0,1991.4182428242384,Jean Boily,2021-04-20
3,blue,World right left.,0,5550.299134118065,Beno�t Gendron,2021-07-16
3,blue,Any sit until build.,1,5484.517065065656,Emmanuel Lavigne,2021-05-09
1,red,Amount look if.,0,4388.875996354372,Julien Audet,2021-07-29
1,red,Suddenly ahead long.,0,5917.414556923329,Louis Lapointe,2021-05-17
1,green,Budget military.,1,2666.2192921350274,Marc Martin,2021-03-28
8,red,They pretty pretty.,0,7138.610665806523,Gabriel Plourde-Labont�,2021-05-08
4,blue,Vote grow play.,0,7298.343263276146,Charlotte Paquin,2021-06-02
10,yellow,Arrive management.,0,400.9627630959441,Audrey Lemieux-Nguyen,2021-07-06
6,green,Painting official.,0,2351.8123326673513,Marcelle St-Jean,2021-03-27
5,red,Simple friend act.,0,2013.6715750892236,Margot-Marcelle Landry,2021-04-10
4,yellow,While girl item.,1,1790.0715499767941,Nicolas Audet,2021-07-22
